level,rule,order_count,revenue
2,Total_Garment_bucket=bucket_3 and amount_bd_bin=bucket_1,541.0,86406.0
2,Total_Garment_bucket=bucket_3 and Store_Name=AECS,18.0,8034.0
2,Total_Garment_bucket=bucket_3 and Does_pickup_charge_exist=Y,696.0,220743.0
2,Total_Garment_bucket=bucket_3 and Store_Name=BANASWADI,53.0,15115.0
2,Total_Garment_bucket=bucket_3 and Store_Name=DOMLUR,540.0,182340.0
2,Total_Garment_bucket=bucket_3 and Store_Name=HSR,194.0,71772.0
2,Total_Garment_bucket=bucket_3 and Store_Name=SARJAPUR,72.0,21176.0
2,Total_Garment_bucket=bucket_5 and Does_delivery_charge_exist=N,50.0,38897.0
2,Total_Garment_bucket=bucket_5 and Payment_Mode=Online,629.0,359714.0
2,Total_Garment_bucket=bucket_5 and Does_delivery_charge_exist=Y,614.0,353489.0
2,Total_Garment_bucket=bucket_5 and Payment_Mode=Cash_to_store,28.0,26235.0
2,Total_Garment_bucket=bucket_5 and amount_bd_bin=bucket_2,225.0,75739.0
2,Total_Garment_bucket=bucket_5 and Does_pickup_charge_exist=N,51.0,39177.0
2,Total_Garment_bucket=bucket_5 and amount_bd_bin=bucket_4,161.0,133555.0
2,Total_Garment_bucket=bucket_5 and amount_bd_bin=bucket_3,224.0,113806.0
2,Total_Garment_bucket=bucket_5 and amount_bd_bin=bucket_5,37.0,65353.0
2,Total_Garment_bucket=bucket_5 and amount_bd_bin=bucket_1,17.0,3933.0
2,Total_Garment_bucket=bucket_5 and Store_Name=AECS,13.0,10336.0
2,Total_Garment_bucket=bucket_5 and Does_pickup_charge_exist=Y,613.0,353209.0
2,Total_Garment_bucket=bucket_5 and Store_Name=BANASWADI,48.0,29502.0
2,Total_Garment_bucket=bucket_5 and Store_Name=DOMLUR,378.0,212109.0
2,Total_Garment_bucket=bucket_5 and Store_Name=HSR,162.0,93751.0
2,Total_Garment_bucket=bucket_5 and Store_Name=SARJAPUR,63.0,46688.0
2,Service=Steam_Ironing and Does_delivery_charge_exist=N,196.0,32463.0
2,Service=Steam_Ironing and Payment_Mode=Online,1278.0,296600.0
2,Service=Steam_Ironing and Does_delivery_charge_exist=Y,1153.0,284939.0
2,Service=Steam_Ironing and Payment_Mode=Cash_to_store,54.0,14906.0
2,Service=Steam_Ironing and Total_Garment_bucket=bucket_1,64.0,3943.0
2,Service=Steam_Ironing and Total_Garment_bucket=bucket_2,186.0,17959.0
2,Service=Steam_Ironing and Total_Garment_bucket=bucket_3,382.0,58769.0
2,Service=Steam_Ironing and Total_Garment_bucket=bucket_5,327.0,142982.0
2,Service=Steam_Ironing and amount_bd_bin=bucket_2,281.0,89872.0
2,Service=Steam_Ironing and Does_pickup_charge_exist=N,202.0,33688.0
2,Service=Steam_Ironing and amount_bd_bin=bucket_4,24.0,18140.0
2,Service=Steam_Ironing and amount_bd_bin=bucket_3,136.0,67799.0
2,Service=Steam_Ironing and amount_bd_bin=bucket_5,4.0,6218.0
2,Service=Steam_Ironing and Total_Garment_bucket=bucket_4,390.0,93749.0
2,Service=Steam_Ironing and amount_bd_bin=bucket_1,904.0,135373.0
2,Service=Steam_Ironing and Store_Name=AECS,23.0,5256.0
2,Service=Steam_Ironing and Does_pickup_charge_exist=Y,1147.0,283714.0
